_08017_,44.8µm
_08123_,44.8µm
u_core.u_transform_scheduler_core.u_mixed_radix_butterfly.high_rr_reg\[4\],44.8µm
u_core.u_transform_scheduler_core.dft12_ram_q\[1\]\[9\],44.49µm
_07948_,44.44µm
u_core.u_transform_scheduler_core.u_mixed_radix_butterfly.x2_q_ext\[12\],44.44µm
u_core.u_transform_scheduler_core.dft12_ram_i\[3\]\[3\],44.39µm
u_core.u_transform_scheduler_core.dft12_ram_q\[3\]\[3\],44.39µm
u_core.u_transform_scheduler_core.u_fdiq_input_adapter.input_sample_index\[2\],44.39µm
u_core.u_transform_scheduler_core.u_tdiq_input_cp_remove.expect_q,44.39µm
_08638_,44.34µm
_08868_,44.34µm
u_core.u_transform_scheduler_core.u_fft128_modulo_controller.fetch_x1_i\[9\],44.34µm
u_core.u_transform_scheduler_core.u_mixed_radix_butterfly.final_scalar_product_reg\[1\],44.34µm
_02119_,44.29µm
_04856_,44.29µm
_08597_,44.29µm
u_core.u_transform_scheduler_core.dft12_ram_q\[10\]\[12\],44.29µm
u_core.u_transform_scheduler_core.tx_cp_length_reg\[0\],44.29µm
u_core.u_transform_scheduler_core.u_fft128_modulo_controller.fetch_x1_q\[2\],44.29µm
_03442_,44.24µm
_04404_,44.24µm
_05035_,44.24µm
u_core.u_transform_scheduler_core.u_fdiq_output_adapter.sample_i_reg\[6\],44.24µm
u_core.u_transform_scheduler_core.u_mixed_radix_butterfly.product_ii_reg\[11\],44.24µm
_04358_,43.88µm
_09010_,43.88µm
u_core.u_serializer.byte_index\[3\],43.88µm
u_core.u_transform_scheduler_core.dft12_ram_q\[3\]\[1\],43.83µm
u_core.u_transform_scheduler_core.mod_diag_X0_i\[3\],43.83µm
u_core.u_transform_scheduler_core.u_mixed_radix_butterfly.high_rr_reg\[9\],43.83µm
u_core.u_transform_scheduler_core.u_tdiq_input_cp_remove.useful_sample_index\[5\],43.83µm
_04211_,43.78µm
_04389_,43.78µm
_06380_,43.78µm
_07673_,43.78µm
_07852_,43.78µm
u_core.output_left\[6\],43.78µm
u_core.top_state\[3\],43.78µm
u_core.u_transform_scheduler_core.dft12_ram_i\[3\]\[13\],43.78µm
u_core.u_transform_scheduler_core.dft12_ram_q\[10\]\[9\],43.78µm
u_core.u_transform_scheduler_core.dft12_ram_q\[8\]\[11\],43.78µm
u_core.u_transform_scheduler_core.mod_x0_i\[10\],43.78µm
u_core.u_transform_scheduler_core.tx_capture_busy,43.78µm
u_core.u_transform_scheduler_core.u_mixed_radix_butterfly.product_iq_reg\[15\],43.78µm
u_core.u_transform_scheduler_core.u_mixed_radix_butterfly.product_rr_reg\[22\],43.78µm
u_core.u_transform_scheduler_core.u_subcarrier_mapper.clear_index\[4\],43.78µm
_04625_,43.73µm
_05497_,43.73µm
_06796_,43.73µm
_07827_,43.73µm
_08389_,43.73µm
_08628_,43.73µm
_08811_,43.73µm
u_core.u_transform_scheduler_core.dft12_ram_i\[3\]\[0\],43.73µm
u_core.u_transform_scheduler_core.dft12_ram_i\[6\]\[5\],43.73µm
u_core.u_transform_scheduler_core.dft12_ram_q\[1\]\[7\],43.73µm
u_core.u_transform_scheduler_core.u_fft_scratch_sram.macro_wdata\[8\],43.73µm
u_core.u_transform_scheduler_core.u_mixed_radix_butterfly.combine_half_sum_q_reg\[15\],43.73µm
u_core.u_transform_scheduler_core.u_mixed_radix_butterfly.product_rr_reg\[10\],43.73µm
_03733_,43.68µm
_06299_,43.68µm
u_core.u_transform_scheduler_core.dft12_ram_q\[11\]\[13\],43.68µm
u_core.u_transform_scheduler_core.u_mixed_radix_butterfly.premultiply_half_sum_q_reg\[15\],43.68µm
u_core.u_transform_scheduler_core.dft12_ram_i\[10\]\[5\],43.27µm
u_core.u_transform_scheduler_core.dft12_ram_q\[9\]\[5\],43.27µm
u_core.u_transform_scheduler_core.rx_dft12_index\[3\],43.27µm
u_core.u_transform_scheduler_core.u_mixed_radix_butterfly.x2_i_ext\[14\],43.27µm
_00035_,43.22µm
_05812_,43.22µm
u_core.output_left\[2\],43.22µm
u_core.u_transform_scheduler_core.dft12_ram_i\[11\]\[12\],43.22µm
u_core.u_transform_scheduler_core.dft12_ram_i\[6\]\[9\],43.22µm
u_core.u_transform_scheduler_core.dft12_sent_x0_i,43.22µm
u_core.u_transform_scheduler_core.u_fft128_modulo_controller.fetch_x1_q\[1\],43.22µm
u_core.u_transform_scheduler_core.u_mixed_radix_butterfly.combine_half_sum_q_reg\[13\],43.22µm
_02182_,43.17µm
_03908_,43.17µm
_04461_,43.17µm
_04690_,43.17µm
_07197_,43.17µm
_07609_,43.17µm
_08145_,43.17µm
_08162_,43.17µm
u_core.u_transform_scheduler_core.dft12_ram_i\[4\]\[3\],43.17µm
u_core.u_transform_scheduler_core.u_fft128_modulo_controller.fetch_x1_i\[2\],43.17µm
u_core.u_transform_scheduler_core.u_mixed_radix_butterfly.arithmetic_x0_q_reg\[6\],43.17µm
_02357_,43.12µm
_03661_,43.12µm
_06128_,43.12µm
_08919_,42.76µm
u_core.u_transform_scheduler_core.mod_diag_X0_i\[4\],42.76µm
u_core.output_left\[3\],42.71µm
u_core.u_transform_scheduler_core.u_mixed_radix_butterfly.product_ii_reg\[17\],42.71µm
_04622_,42.66µm
_08336_,42.66µm
_08431_,42.66µm
_09073_,42.66µm
u_core.u_transform_scheduler_core.u_mixed_radix_butterfly.x1_q_ext\[6\],42.66µm
u_core.u_transform_scheduler_core.u_mixed_radix_butterfly.x2_i_ext\[6\],42.66µm
_02175_,42.61µm
_05059_,42.61µm
_07502_,42.61µm
_07512_,42.61µm
u_core.u_transform_scheduler_core.fifo_x1_q\[0\]\[7\],42.61µm
u_core.u_transform_scheduler_core.u_mixed_radix_butterfly.low_ii_reg\[14\],42.61µm
u_core.u_transform_scheduler_core.u_mixed_radix_butterfly.premultiply_half_sum_q_reg\[2\],42.61µm
_07322_,42.56µm
_07639_,42.56µm
_08139_,42.56µm
u_core.u_transform_scheduler_core.u_fft_scratch_sram.macro_write,42.56µm
u_core.u_transform_scheduler_core.u_tdiq_input_cp_remove.input_sample_index\[6\],42.56µm
u_core.u_transform_scheduler_core.u_fft_scratch_sram.u_hi.macro_wdata\[0\],42.42µm
_03697_,42.15µm
u_core.u_transform_scheduler_core.dft12_ram_i\[8\]\[3\],42.15µm
u_core.u_transform_scheduler_core.u_mixed_radix_butterfly.x0_i_full,42.15µm
_02433_,42.1µm
u_core.u_transform_scheduler_core.u_mixed_radix_butterfly.arithmetic_x0_q_reg\[7\],42.1µm
_02571_,42.05µm
_04114_,42.05µm
_04169_,42.05µm
_05473_,42.05µm
_05876_,42.05µm
_07656_,42.05µm
_08030_,42.05µm
_08047_,42.05µm
_08241_,42.05µm
_09023_,42.05µm
u_core.u_transform_scheduler_core.u_mixed_radix_butterfly.x0_q_ext\[12\],42.05µm
_02190_,42µm
_04440_,42µm
_06388_,42µm
_06965_,42µm
_08286_,42µm
_08291_,42µm
u_core.u_transform_scheduler_core.u_mixed_radix_butterfly.arithmetic_x0_q_reg\[9\],42µm
u_core.u_transform_scheduler_core.dft12_ram_i\[9\]\[5\],41.59µm
u_core.u_transform_scheduler_core.dft12_ram_q\[8\]\[15\],41.59µm
u_core.u_transform_scheduler_core.small_sent_x1_q,41.59µm
_02162_,41.54µm
_04073_,41.54µm
_04231_,41.54µm
_04659_,41.54µm
_04943_,41.54µm
_05234_,41.54µm
_07585_,41.54µm
_08394_,41.54µm
_08634_,41.54µm
u_core.u_transform_scheduler_core.dft12_ram_i\[11\]\[2\],41.54µm
u_core.u_transform_scheduler_core.dft12_ram_q\[7\]\[10\],41.54µm
u_core.u_transform_scheduler_core.u_fft128_modulo_controller.fetch_x1_i\[7\],41.54µm
_02224_,41.49µm
_03715_,41.49µm
_05470_,41.49µm
_06172_,41.49µm
_06219_,41.49µm
_06956_,41.49µm
_07253_,41.49µm
_07297_,41.49µm
_07565_,41.49µm
_08438_,41.49µm
u_core.u_transform_scheduler_core.u_mixed_radix_butterfly.high_iq_reg\[5\],41.49µm
u_core.u_transform_scheduler_core.u_mixed_radix_butterfly.low_rr_reg\[14\],41.49µm
_02327_,41.44µm
_04419_,41.44µm
_04581_,41.44µm
_04861_,41.44µm
_05150_,41.44µm
_05939_,41.44µm
_06474_,41.44µm
_04093_,41.08µm
u_core.u_transform_scheduler_core.dft12_ram_i\[3\]\[6\],41.08µm
_03787_,41.03µm
_04536_,40.98µm
_05827_,40.98µm
_08071_,40.98µm
_08618_,40.98µm
u_core.u_transform_scheduler_core.dft12_ram_i\[7\]\[4\],40.98µm
u_core.u_transform_scheduler_core.dft12_ram_i\[9\]\[12\],40.98µm
u_core.u_transform_scheduler_core.u_mixed_radix_butterfly.product_ii_reg\[5\],40.98µm
u_core.u_transform_scheduler_core.u_mixed_radix_butterfly.product_rq_reg\[22\],40.98µm
_02400_,40.93µm
_02570_,40.93µm
_08745_,40.93µm
_09019_,40.93µm
u_core.u_transform_scheduler_core.mod_diag_X0_i\[7\],40.93µm
_04480_,40.88µm
_07987_,40.88µm
_08015_,40.88µm
u_core.u_transform_scheduler_core.u_mixed_radix_butterfly.high_rq_reg\[3\],40.7µm
u_core.u_transform_scheduler_core.dft12_ram_q\[11\]\[9\],40.52µm
_02546_,40.47µm
_04106_,40.47µm
u_core.output_left\[5\],40.47µm
u_core.u_transform_scheduler_core.dft12_ram_q\[6\]\[10\],40.47µm
u_core.u_transform_scheduler_core.u_fft128_modulo_controller.fetch_x1_i\[6\],40.47µm
_04239_,40.42µm
_04422_,40.42µm
_06402_,40.42µm
_07003_,40.42µm
_07836_,40.42µm
u_core.u_transform_scheduler_core.dft12_ram_q\[11\]\[8\],40.42µm
u_core.u_transform_scheduler_core.dft12_ram_q\[4\]\[5\],40.42µm
u_core.u_transform_scheduler_core.dft12_ram_q\[7\]\[6\],40.42µm
u_core.u_transform_scheduler_core.rx_fft128_index\[2\],40.42µm
u_core.u_transform_scheduler_core.u_fdiq_output_adapter.sample_q_reg\[1\],40.42µm
u_core.u_transform_scheduler_core.u_mixed_radix_butterfly.low_rr_reg\[16\],40.42µm
u_core.u_transform_scheduler_core.u_mixed_radix_butterfly.product_iq_reg\[7\],40.42µm
u_core.u_transform_scheduler_core.u_mixed_radix_butterfly.product_rq_reg\[1\],40.42µm
_05828_,40.37µm
_06835_,40.37µm
_09026_,40.37µm
u_core.u_transform_scheduler_core.dft12_ram_i\[4\]\[9\],40.37µm
u_core.u_transform_scheduler_core.dft12_ram_q\[3\]\[9\],40.37µm
u_core.u_transform_scheduler_core.dft12_ram_q\[6\]\[12\],40.37µm
u_core.u_transform_scheduler_core.u_mixed_radix_butterfly.arithmetic_half_sum_q_reg\[14\],40.37µm
u_core.u_transform_scheduler_core.u_mixed_radix_butterfly.high_rq_reg\[7\],40.37µm
_02322_,40.32µm
_03350_,40.32µm
_05648_,40.32µm
_06261_,40.32µm
_06452_,40.32µm
_07549_,40.32µm
_08655_,40.32µm
u_core.u_transform_scheduler_core.rx_fft128_index\[4\],40.32µm
_02545_,40.14µm
u_core.serializer_job_done,39.91µm
u_core.u_transform_scheduler_core.u_mixed_radix_butterfly.high_iq_reg\[0\],39.91µm
_02248_,39.86µm
_08381_,39.86µm
u_core.u_transform_scheduler_core.dft12_ram_i\[3\]\[9\],39.86µm
u_core.u_transform_scheduler_core.dft12_ram_i\[7\]\[5\],39.86µm
u_core.u_transform_scheduler_core.dft12_ram_i\[9\]\[1\],39.86µm
u_core.u_transform_scheduler_core.u_tdiq_output_cp_insert.pace_count\[0\],39.81µm
_04580_,39.76µm
_07483_,39.76µm
u_core.u_transform_scheduler_core.rx_state\[12\],39.4µm
_05488_,39.35µm
u_core.u_transform_scheduler_core.dft12_ram_i\[9\]\[15\],39.33µm
_04194_,39.3µm
_04660_,39.3µm
_05431_,39.3µm
_06003_,39.3µm
_08005_,39.3µm
_08463_,39.3µm
u_core.u_transform_scheduler_core.dft12_ram_q\[11\]\[7\],39.3µm
u_core.u_transform_scheduler_core.u_mixed_radix_butterfly.product_ii_reg\[13\],39.3µm
u_core.u_transform_scheduler_core.u_mixed_radix_butterfly.product_iq_reg\[13\],39.3µm
_02076_,39.25µm
_04600_,39.25µm
_05181_,39.25µm
_05379_,39.25µm
_07447_,39.25µm
_08117_,39.25µm
u_core.u_transform_scheduler_core.u_fdiq_output_adapter.state\[0\],39.25µm
_04328_,39.2µm
_04789_,39.2µm
_06518_,39.2µm
_07274_,39.2µm
_08683_,39.2µm
u_core.u_transform_scheduler_core.u_mixed_radix_butterfly.premultiply_half_sum_q_reg\[0\],39.2µm
_08704_,38.84µm
u_core.u_transform_scheduler_core.dft12_ram_i\[5\]\[11\],38.84µm
_07556_,38.79µm
u_core.u_transform_scheduler_core.dft12_ram_q\[0\]\[1\],38.79µm
u_core.u_transform_scheduler_core.u_tdiq_input_cp_remove.useful_sample_index\[0\],38.79µm
_06849_,38.74µm
_08895_,38.74µm
_03372_,38.69µm
_04121_,38.69µm
_04244_,38.69µm
_05633_,38.69µm
_05727_,38.69µm
_06722_,38.69µm
_07844_,38.69µm
_08288_,38.69µm
u_core.u_transform_scheduler_core.dft12_ram_i\[9\]\[8\],38.69µm
u_core.u_transform_scheduler_core.u_mixed_radix_butterfly.low_iq_reg\[11\],38.69µm
_02476_,38.64µm
_04204_,38.64µm
_04471_,38.64µm
_04869_,38.64µm
_05477_,38.64µm
_06603_,38.64µm
_07117_,38.64µm
_07478_,38.64µm
_07848_,38.64µm
_08161_,38.64µm
_08365_,38.64µm
u_core.u_transform_scheduler_core.dft12_ram_q\[8\]\[0\],38.28µm
_02225_,38.23µm
_08630_,38.23µm
u_core.u_transform_scheduler_core.u_fdiq_output_adapter.sample_i_reg\[8\],38.23µm
u_core.u_transform_scheduler_core.u_mixed_radix_butterfly.product_rr_reg\[12\],38.23µm
_02133_,38.18µm
_05534_,38.18µm
u_core.input_left\[7\],38.18µm
u_core.u_transform_scheduler_core.u_fdiq_output_adapter.sample_i_reg\[13\],38.18µm
u_core.u_transform_scheduler_core.u_mixed_radix_butterfly.high_iq_reg\[6\],38.18µm
_04338_,38.13µm
_04763_,38.13µm
_04787_,38.13µm
_05842_,38.13µm
_06061_,38.13µm
_06820_,38.13µm
_07071_,38.13µm
_07497_,38.13µm
_07581_,38.13µm
_07586_,38.13µm
_07923_,38.13µm
u_core.u_transform_scheduler_core.dft12_ram_i\[0\]\[5\],38.13µm
u_core.u_transform_scheduler_core.u_mixed_radix_butterfly.arithmetic_x0_i_reg\[6\],38.13µm
_02022_,38.08µm
_03662_,38.08µm
_05076_,38.08µm
_05902_,38.08µm
_06674_,38.08µm
u_core.u_transform_scheduler_core.u_mixed_radix_butterfly.twiddle_im_reg\[3\],38.08µm
_07567_,37.77µm
_04050_,37.72µm
_08113_,37.67µm
_08137_,37.67µm
u_core.u_transform_scheduler_core.dft12_ram_i\[9\]\[4\],37.67µm
u_core.u_transform_scheduler_core.dft12_ram_q\[2\]\[2\],37.67µm
u_core.u_transform_scheduler_core.ofdm_mem_addr\[1\],37.67µm
u_core.u_transform_scheduler_core.rx_fft128_index\[5\],37.67µm
u_core.u_transform_scheduler_core.u_tdiq_output_cp_insert.responses_left\[4\],37.67µm
_02353_,37.62µm
_04019_,37.62µm
_04229_,37.62µm
_04628_,37.62µm
_05232_,37.62µm
_08387_,37.62µm
u_core.u_transform_scheduler_core.fft_mem_rdata\[11\],37.62µm
u_core.u_transform_scheduler_core.u_fdiq_input_adapter.final_sample_pending,37.62µm
u_core.u_transform_scheduler_core.u_mixed_radix_butterfly.x2_q_full,37.62µm
_04827_,37.57µm
_07753_,37.57µm
u_core.debug_wdata\[13\],37.57µm
u_core.u_transform_scheduler_core.fifo_x1_i\[0\]\[6\],37.57µm
u_core.u_transform_scheduler_core.mod_diag_X0_q\[15\],37.57µm
u_core.u_transform_scheduler_core.u_mixed_radix_butterfly.arithmetic_half_sum_q_reg\[5\],37.57µm
u_core.u_transform_scheduler_core.u_mixed_radix_butterfly.final_scalar_product_reg\[4\],37.57µm
u_core.u_transform_scheduler_core.u_mixed_radix_butterfly.low_rq_reg\[16\],37.57µm
_04802_,37.52µm
_05764_,37.52µm
_06500_,37.52µm
_07638_,37.52µm
_08742_,37.52µm
_04586_,37.11µm
u_core.u_transform_scheduler_core.dft12_ram_i\[9\]\[2\],37.11µm
u_core.u_transform_scheduler_core.fifo_x2_q\[0\]\[10\],37.11µm
u_core.u_transform_scheduler_core.mod_diag_X0_q\[6\],37.11µm
u_core.u_transform_scheduler_core.u_mixed_radix_butterfly.product_rr_reg\[13\],37.11µm
_02996_,37.06µm
_04246_,37.06µm
_04739_,37.06µm
_05809_,37.06µm
_06800_,37.06µm
_08828_,37.06µm
u_core.u_transform_scheduler_core.u_mixed_radix_butterfly.product_ii_reg\[9\],37.06µm
u_core.u_transform_scheduler_core.u_subcarrier_mapper.clear_index\[3\],37.06µm
u_core.u_transform_scheduler_core.u_tdiq_output_cp_insert.responses_left\[8\],37.06µm
_04302_,37.01µm
_05355_,37.01µm
_05761_,37.01µm
_07759_,37.01µm
_08185_,37.01µm
_08494_,37.01µm
_08556_,37.01µm
u_core.u_transform_scheduler_core.mod_diag_X1_i\[1\],37.01µm
u_core.u_transform_scheduler_core.u_mixed_radix_butterfly.arithmetic_half_sum_q_reg\[15\],37.01µm
_02105_,36.96µm
_02121_,36.96µm
_05987_,36.96µm
_06004_,36.96µm
_07651_,36.96µm
_07855_,36.96µm
_08674_,36.96µm
_08689_,36.96µm
_09110_,36.96µm
u_core.u_transform_scheduler_core.dft12_ram_i\[3\]\[7\],36.96µm
u_core.u_transform_scheduler_core.u_mixed_radix_butterfly.combine_half_sum_q_reg\[14\],36.96µm
u_core.u_transform_scheduler_core.u_mixed_radix_butterfly.x2_i_ext\[7\],36.96µm
_08794_,36.9µm
_03889_,36.6µm
_06688_,36.555µm
_02064_,36.55µm
_04309_,36.55µm
_05734_,36.55µm
_08347_,36.55µm
u_core.u_transform_scheduler_core.mod_diag_X1_q\[8\],36.55µm
u_core.u_transform_scheduler_core.u_fdiq_output_adapter.sample_q_reg\[3\],36.55µm
_04024_,36.5µm
_04523_,36.5µm
_05686_,36.5µm
_08259_,36.5µm
_09002_,36.5µm
u_core.u_transform_scheduler_core.dft12_ram_i\[7\]\[3\],36.5µm
u_core.u_transform_scheduler_core.dft12_ram_q\[0\]\[3\],36.5µm
u_core.u_transform_scheduler_core.dft12_sent_x1_i,36.5µm
u_core.u_transform_scheduler_core.u_mixed_radix_butterfly.combine_x0_q_reg\[13\],36.5µm
u_core.u_transform_scheduler_core.u_mixed_radix_butterfly.high_iq_reg\[1\],36.5µm
u_core.u_transform_scheduler_core.u_mixed_radix_butterfly.product_ii_reg\[1\],36.5µm
_02485_,36.45µm
_03864_,36.45µm
_03924_,36.45µm
_04406_,36.45µm
_04574_,36.45µm
_05493_,36.45µm
_05643_,36.45µm
_07404_,36.45µm
_07864_,36.45µm
u_core.u_transform_scheduler_core.dft12_ram_q\[9\]\[8\],36.45µm
u_core.u_transform_scheduler_core.result_meta_radix3\[2\]\[0\],36.45µm
u_core.u_transform_scheduler_core.u_fdiq_output_adapter.sample_i_reg\[4\],36.45µm
u_core.u_transform_scheduler_core.u_mixed_radix_butterfly.arithmetic_x0_i_reg\[14\],36.45µm
u_core.u_transform_scheduler_core.u_mixed_radix_butterfly.low_rr_reg\[15\],36.45µm
u_core.u_transform_scheduler_core.u_mixed_radix_butterfly.premultiply_input_q_reg\[16\],36.45µm
u_core.u_transform_scheduler_core.u_mixed_radix_butterfly.product_rr_reg\[20\],36.45µm
_04443_,36.4µm
_05700_,36.4µm
_05786_,36.4µm
_05848_,36.4µm
_07579_,36.4µm
u_core.u_transform_scheduler_core.dft12_ram_q\[7\]\[2\],36.4µm
u_core.u_transform_scheduler_core.u_tdiq_input_cp_remove.input_sample_index\[0\],36.09µm
u_core.u_transform_scheduler_core.small_sent_x0_i,36.04µm
_02329_,35.99µm
_08866_,35.99µm
_08926_,35.99µm
u_core.u_transform_scheduler_core.dft12_ram_q\[7\]\[13\],35.99µm
u_core.u_transform_scheduler_core.u_fft128_modulo_controller.fetch_x1_i\[12\],35.99µm
_04377_,35.94µm
_07968_,35.94µm
_08181_,35.94µm
_08373_,35.94µm
u_core.u_transform_scheduler_core.u_fdiq_output_adapter.sample_q_reg\[14\],35.94µm
u_core.u_transform_scheduler_core.u_fdiq_output_adapter.sample_q_reg\[7\],35.94µm
u_core.u_transform_scheduler_core.u_mixed_radix_butterfly.arithmetic_x0_i_reg\[10\],35.94µm
u_core.u_transform_scheduler_core.u_mixed_radix_butterfly.product_iq_reg\[6\],35.94µm
u_core.u_transform_scheduler_core.u_mixed_radix_butterfly.x2_i_ext\[1\],35.94µm
_05240_,35.89µm
_05430_,35.89µm
_05838_,35.89µm
_06335_,35.89µm
_06395_,35.89µm
_06892_,35.89µm
_09004_,35.89µm
u_core.u_transform_scheduler_core.u_mixed_radix_butterfly.final_scalar_product_reg\[2\],35.89µm
u_core.u_transform_scheduler_core.u_mixed_radix_butterfly.product_ii_reg\[4\],35.89µm
_02172_,35.84µm
_02336_,35.84µm
_06485_,35.84µm
_06664_,35.84µm
_07748_,35.84µm
u_core.u_transform_scheduler_core.mod_diag_X1_i\[4\],35.84µm
u_core.u_transform_scheduler_core.u_mixed_radix_butterfly.product_rr_reg\[9\],35.48µm
_04685_,35.43µm
_07035_,35.43µm
_07330_,35.43µm
u_core.u_transform_scheduler_core.u_mixed_radix_butterfly.premultiply_half_sum_i_reg\[10\],35.43µm
_04051_,35.38µm
_07743_,35.38µm
_08846_,35.38µm
_08971_,35.38µm
u_core.u_transform_scheduler_core.dft12_ram_q\[7\]\[9\],35.38µm
u_core.u_transform_scheduler_core.mod_diag_X0_i\[1\],35.38µm
u_core.u_transform_scheduler_core.mod_diag_X1_i\[15\],35.38µm
u_core.u_transform_scheduler_core.u_mixed_radix_butterfly.high_rr_reg\[7\],35.38µm
u_core.u_transform_scheduler_core.u_mixed_radix_butterfly.product_ii_reg\[15\],35.38µm
_08573_,35.34µm
_02389_,35.33µm
_04800_,35.33µm
_05099_,35.33µm
_07364_,35.33µm
_08060_,35.33µm
_08203_,35.33µm
_08793_,35.33µm
u_core.u_transform_scheduler_core.u_mixed_radix_butterfly.arithmetic_x0_q_reg\[8\],35.33µm
u_core.u_transform_scheduler_core.u_mixed_radix_butterfly.x1_q_ext\[12\],35.33µm
_03457_,35.28µm
_04599_,35.28µm
_06274_,35.28µm
_06970_,35.28µm
_07646_,35.28µm
_08062_,35.28µm
_03800_,34.87µm
_08295_,34.87µm
_02033_,34.82µm
_03974_,34.82µm
_04324_,34.82µm
_04474_,34.82µm
_04545_,34.82µm
_09037_,34.82µm
u_core.u_transform_scheduler_core.dft12_ram_i\[9\]\[0\],34.82µm
u_core.u_transform_scheduler_core.u_mixed_radix_butterfly.high_iq_reg\[8\],34.82µm
_02297_,34.77µm
_03577_,34.77µm
_04418_,34.77µm
_04945_,34.77µm
_05207_,34.77µm
_05699_,34.77µm
_08644_,34.77µm
u_core.u_transform_scheduler_core.dft12_ram_i\[11\]\[7\],34.77µm
u_core.u_transform_scheduler_core.dft12_ram_q\[0\]\[9\],34.77µm
u_core.u_transform_scheduler_core.dft12_ram_q\[7\]\[8\],34.77µm
u_core.u_transform_scheduler_core.fft_mem_rdata\[14\],34.77µm
u_core.u_transform_scheduler_core.mod_diag_X1_i\[0\],34.77µm
u_core.u_transform_scheduler_core.u_fdiq_output_adapter.sample_q_reg\[6\],34.77µm
u_core.u_transform_scheduler_core.u_mixed_radix_butterfly.premultiply_twiddle_re_reg\[2\],34.77µm
u_core.u_transform_scheduler_core.u_mixed_radix_butterfly.product_rq_reg\[13\],34.77µm
_02312_,34.72µm
_05175_,34.72µm
_05927_,34.72µm
_07784_,34.72µm
_08559_,34.72µm
_08758_,34.72µm
_09025_,34.72µm
u_core.echo_data\[4\],34.72µm
u_core.u_transform_scheduler_core.rx_small_x1_q\[10\],34.72µm
u_core.u_transform_scheduler_core.dft12_ram_i\[3\]\[5\],34.54µm
_04933_,34.41µm
_05378_,34.41µm
_04069_,34.36µm
u_core.u_transform_scheduler_core.u_mixed_radix_butterfly.product_ii_reg\[16\],34.36µm
u_core.u_transform_scheduler_core.dft12_ram_q\[11\]\[12\],34.31µm
u_core.u_transform_scheduler_core.dft12_ram_q\[6\]\[8\],34.31µm
u_core.u_transform_scheduler_core.rx_fft128_index\[0\],34.31µm
u_core.u_transform_scheduler_core.u_mixed_radix_butterfly.high_rr_reg\[1\],34.31µm
u_core.u_transform_scheduler_core.u_mixed_radix_butterfly.low_ii_reg\[13\],34.31µm
u_core.u_transform_scheduler_core.u_tdiq_output_cp_insert.responses_left\[2\],34.31µm
_02382_,34.26µm
_04417_,34.26µm
_06208_,34.26µm
_08036_,34.26µm
u_core.u_transform_scheduler_core.u_fft_scratch_sram.state\[3\],34.26µm
u_core.u_transform_scheduler_core.u_mixed_radix_butterfly.high_rq_reg\[9\],34.26µm
_02252_,34.21µm
_03459_,34.21µm
_03987_,34.21µm
_05202_,34.21µm
_06400_,34.21µm
_07400_,34.21µm
_07733_,34.21µm
_08133_,34.21µm
_08824_,34.21µm
u_core.u_transform_scheduler_core.dft12_phase_onehot\[2\],34.21µm
u_core.u_transform_scheduler_core.dft12_ram_i\[0\]\[11\],34.21µm
u_core.u_transform_scheduler_core.dft12_ram_i\[0\]\[1\],34.21µm
u_core.u_transform_scheduler_core.dft12_ram_i\[0\]\[2\],34.21µm
