clknet_leaf_15_clk_regs,373µm
u_core.u_transform_scheduler_core.ofdm_mem_req,372.7µm
u_core.u_transform_scheduler_core.mod_diag_addr0\[5\],372.5µm
dout_valid_o_PD,370.58µm
_04652_,370.56µm
_05357_,368.83µm
u_core.u_transform_scheduler_core.mod_diag_addr1\[6\],368.53µm
net20,367.97µm
clknet_leaf_0_clk_regs,365.77µm
clknet_leaf_52_clk_regs,365.77µm
_07522_,365.22µm
din[5],364.98µm
u_core.u_transform_scheduler_core.u_mixed_radix_butterfly.combine_x0_q_reg\[5\],364.61µm
clknet_leaf_40_clk_regs,364.5µm
_04402_,363.64µm
din[4],363.58µm
clknet_leaf_96_clk_regs,363.53µm
clknet_leaf_94_clk_regs,363.02µm
_04201_,362.42µm
clknet_leaf_76_clk_regs,362.34µm
_02849_,362.01µm
_04487_,361.3µm
u_core.u_transform_scheduler_core.u_mixed_radix_butterfly.combine_x0_i_reg\[6\],361.3µm
u_core.u_transform_scheduler_core.u_fft_scratch_sram.macro_addr\[4\],357.94µm
_05372_,356.92µm
clknet_leaf_21_clk_regs,356.91µm
clknet_leaf_53_clk_regs,356.61µm
_02562_,356.36µm
_02461_,355.12µm
_02683_,354.78µm
clknet_leaf_54_clk_regs,354.42µm
clknet_leaf_65_clk_regs,354.01µm
u_core.u_transform_scheduler_core.u_mixed_radix_butterfly.combine_x0_q_reg\[4\],353µm
u_core.u_transform_scheduler_core.u_mixed_radix_butterfly.premultiply_input_q_reg\[6\],352.8µm
_03395_,352.24µm
clknet_leaf_48_clk_regs,352.23µm
_03353_,351.73µm
clknet_leaf_22_clk_regs,351.67µm
_02595_,351.45µm
_02709_,351.32µm
clknet_leaf_4_clk_regs,349.53µm
clknet_leaf_66_clk_regs,348.87µm
_04392_,348.57µm
clknet_leaf_33_clk_regs,348.26µm
u_core.u_transform_scheduler_core.mod_diag_addr0\[4\],347.81µm
_03072_,346.28µm
_04166_,346.23µm
_03956_,346.08µm
u_core.core_X2_i\[5\],344.65µm
clknet_leaf_9_clk_regs,344.59µm
u_core.core_X2_i\[8\],344.55µm
clknet_leaf_58_clk_regs,344.39µm
_02799_,343.48µm
clknet_leaf_70_clk_regs,342.61µm
u_core.u_transform_scheduler_core.rx_state\[0\],341.85µm
_05434_,341.29µm
clknet_leaf_60_clk_regs,341.08µm
_02701_,339.56µm
u_core.u_transform_scheduler_core.u_mixed_radix_butterfly.combine_x0_q_reg\[1\],339.51µm
