test,output_sample,rtl_i_code,rtl_q_code,rtl_i_saturated,rtl_q_saturated,numpy_i,numpy_q
1,105,-2,-3,-2,-3,-0.01171875,-0.0234375
1,106,-2,-3,-2,-3,-0.010554610635355503,-0.023984280313333155
1,107,-2,-4,-2,-4,-0.00936504428921573,-0.024473280394616652
1,108,-2,-4,-2,-4,-0.008152916731102234,-0.024903322199823323
1,109,-1,-4,-1,-4,-0.00692114808247235,-0.025273369720577216
1,110,-1,-4,-1,-4,-0.005672705781890814,-0.025582531479988495
1,111,-1,-4,-1,-4,-0.004410597436210362,-0.025830062680299377
1,112,-1,-4,-1,-4,-0.0031378635749833676,-0.026015366997167125
1,113,-1,-4,-1,-4,-0.0018575703255598493,-0.026137998016261675
1,114,-1,-4,-1,-4,-0.0005728020265181148,-0.026197660308716817
1,115,0,-4,0,-4,0.0007133462027770331,-0.026194210142844232
1,116,0,-4,0,-4,0.001997775918587944,-0.02612765583039569
1,117,0,-4,0,-4,0.0032773928172264745,-0.025998157706539366
1,118,0,-4,0,-4,0.004549114189502598,-0.025806027743598314
1,119,0,-4,0,-4,0.0058098763472408665,-0.02555172879948187
1,120,0,-4,0,-4,0.007056642003973565,-0.025235873502620347
1,121,1,-4,1,-4,0.008286407592029855,-0.024859222776089564
1,122,1,-4,1,-4,0.009496210498393356,-0.02442268400448042
1,123,1,-4,1,-4,0.010683136201896428,-0.023927308847930016
1,124,1,-3,1,-3,0.011844325294556913,-0.023374290708580214
1,125,1,-3,1,-3,0.012976980370142442,-0.022764961855567378
1,126,1,-3,1,-3,0.01407837276336706,-0.02210079021546932
1,127,1,-3,1,-3,0.015145849123484913,-0.021383375835941607
1,128,2,-3,2,-3,0.016176837806444584,-0.020614447031062588
1,129,2,-3,2,-3,0.017168855070204887,-0.019795856217673432
1,130,2,-3,2,-3,0.01811951105828697,-0.01892957545274368
1,131,2,-3,2,-3,0.019026515557147915,-0.018017691682513284
1,132,2,-3,2,-3,0.019887683513505748,-0.01706240171485631
1,133,2,-3,2,-3,0.02070094029832421,-0.016066006926978363
1,134,2,-2,2,-2,0.02146432670477578,-0.015030907721197317
1,135,2,-2,2,-2,0.022176003668142576,-0.013959597742163887
1,136,2,-2,2,-2,0.0228342566962843,-0.012854657869453223
2,0,-5,-6,-5,-6,-0.03302141506349396,-0.04431860093075741
2,1,-2,-8,-2,-8,-0.014902014814849922,-0.05589106219517475
2,2,0,-8,0,-8,0.006339181819696643,-0.0593444158781451
2,3,3,-7,3,-7,0.02706407391170636,-0.054329301338027505
2,4,5,-6,5,-6,0.043962585362188,-0.04206216038223509
2,5,7,-4,7,-4,0.054684794026436626,-0.0249675198162937
2,6,7,-1,7,-1,0.05822600836027548,-0.006088288600473814
2,7,7,1,7,1,0.05499286964445926,0.01159188358255758
2,8,6,3,6,3,0.04655459540501443,0.02575605327147096
2,9,4,4,4,4,0.03515625,0.03515625
2,10,2,5,2,5,0.02312340974259594,0.039729723692451965
2,11,1,5,1,5,0.012307801667862715,0.04042002223688773
2,12,0,4,0,4,0.0037072793086106656,0.038765557247696286
2,13,-1,4,-1,4,-0.0026545685645028598,0.03637302817329807
2,14,-1,4,-1,4,-0.007571657091701516,0.034417777635796766
2,15,-2,4,-2,4,-0.012274710036523069,0.03330228324293662
2,16,-3,4,-3,4,-0.017936230009752235,0.03256062633343914
2,17,-4,3,-4,3,-0.02519904203876036,0.031031839419085182
2,18,-5,3,-5,3,-0.03385971389958455,0.02725463611265071
2,19,-6,2,-6,2,-0.042798316604654746,0.01997758033693297
2,20,-7,1,-7,1,-0.05018269463234202,0.008646758926601824
2,21,-7,-1,-7,-1,-0.05390420147856732,-0.006264426440543806
2,22,-7,-3,-7,-3,-0.05214027079916776,-0.023181931042899517
2,23,-6,-6,-6,-6,-0.04390257180830982,-0.03965038196849381
2,24,-4,-7,-4,-7,-0.02942724755976235,-0.052808169237123274
2,25,-2,-8,-2,-8,-0.010297027223910436,-0.06001547277608957
2,26,1,-8,1,-8,0.01075357793561884,-0.05948971506657906
2,27,3,-7,3,-7,0.030323544125645044,-0.050794401987732045
2,28,5,-5,5,-5,0.04502339144734187,-0.035055726899719516
2,29,6,-2,6,-2,0.05219828067447892,-0.014840669469376531
2,30,6,0,6,0,0.05053186627372604,0.006292834924890831
2,31,5,3,5,3,0.04038822170638735,0.0244865507515162
2,32,3,4,3,4,0.023804565261504127,0.03636809161484164
2,33,0,5,0,5,0.0041244105809148095,0.03976123759093948
2,34,-2,4,-2,4,-0.014658362679241843,0.03416189599176833
